canonical_specimen,source_row_label,classification,entry_point,linked_to_existing_row,reason,taxon_concept_flag
SEMDAM2000-PANPAN-01,Bonobo 1,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANPAN-02,Bonobo 2,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANPAN-03,Bonobo 3,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANTRO-01,Chimpanzee 1,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANTRO-02,Chimpanzee 2,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANTRO-03,Chimpanzee 3,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANTRO-04,Chimpanzee 4,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANTRO-05,Chimpanzee 5,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PANTRO-06,Chimpanzee 6,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-GORILLA-01,Gorilla 1,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-GORILLA-02,Gorilla 2,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-PONGO-01,Orang-utan 1,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",Pongo pygmaeus (s.l.)
SEMDAM2000-PONGO-02,Orang-utan 2,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",Pongo pygmaeus (s.l.)
SEMDAM2000-PONGO-03,Orang-utan 3,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",Pongo pygmaeus (s.l.)
SEMDAM2000-PONGO-04,Orang-utan 4,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",Pongo pygmaeus (s.l.)
SEMDAM2000-HYLOBATES-01,Gibbon 1,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HYLOBATES-02,Gibbon 2,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HYLOBATES-03,Gibbon 3,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
SEMDAM2000-HYLOBATES-04,Gibbon 4,specimen,Semendeferi_Damasio_2000_Table2.csv column Specimen,no,"No printed code, name, or accession beyond the table-ordinal label; DUSSELDORF_HIRNFORSCHUNG-group rows were checked and rejected as a match candidate because this paper's methods (p.318) state the humans came from University of Iowa Dept. of Neurology and the apes were living Yerkes subjects scanned in vivo, not postmortem Stephan/Zilles/Frahm/Semendeferi-section material.",NA
